id,topic,content
13189,2,"['市委书记', '江苏', '书记', '市长', '无锡市委', '老字号', '探店', '特色美食', '徐州', '夫子庙', '主官', '鱼圆', '螺蛳', '党政', '肺炎', '粉丝', '南京', '美食', '奶茶']"
13192,0,"['押金', '状况', '热线', '网页', '追星', '年度', '粉丝', '北京市消协', '热点问题', '系统', '链接', '途歌', '企业']"
13218,0,"['尾货', '盲目', '买货', '库存', '八卦', '方丈', '粉丝']"
13298,1,"['错误', '实体', '专辑', '文人', '粉丝', '衣食父母']"
13318,0,"['理智', '姐姐', '指教', '粉丝', '私生活', '大陆', '作品', '观点', '老粉', '数据', '个人感觉', '哥哥', '代言', '言论']"
13802,0,"['时尚', '奢侈品', '原单', '美女', '假货', '粉丝', '博主', '警方', '南京', '名义', '辨别真假', '大叔', '原厂', '真假']"
13902,0,"['浪费', '粉丝', '时代', '福利']"
14021,1,"['姐姐', '父亲', '弟弟', '检查单', '声称', '语言', '学艺', '人生', '先学', '事业', '家庭', '积蓄', '发文', '病情', '心脏病', '粉丝']"
14080,1,"['乱象', '新闻报道', '劣质', '产品', '粉丝', '网红大', '八卦', '网红', '电商', '出镜', '方式']"
14098,1,"['粉丝', '产品', '老铁', '方式', '新闻报道', '劣质', '网红', '电商', '新闻', '八卦', '假货', '出镜']"
14107,1,"['乱象', '新闻报道', '劣质', '产品', '粉丝', '网红', '电商', '出镜', '方式']"
14120,1,"['产品', '方式', '劣质', '粉丝', '新闻', '电商', '新闻报道', '网红']"
14165,1,"['流量', '粉丝', '大事', '代表']"
14187,0,"['关门', '广告', '言论', '偶像', '彩票', '圈太', '粉丝', '退团']"
14288,0,"['医生', '事件', '综艺', '大团结', '影视', '失格', '偶像', '遗书', '饼干', '粉丝', '舆论', '品质']"
14355,0,"['路人', '粉丝', '散粉', '年龄', '姐妹']"
14569,2,"['粉丝', '综艺', '贵司', '成员', '偶像', '节目', '规则', '策划', '企划', '目标', '衷心', '公司', '河能', '鸡腿', '规定', '同类', '数目', '流程']"
14588,2,"['粉丝', '综艺', '贵司', '成员', '偶像', '节目', '规则', '策划', '企划', '目标', '衷心', '公司', '河能', '鸡腿', '规定', '同类', '数目', '流程']"
14927,1,"['情怀', '功能', '极客', '花钱买', '外观', '机嘛', '村长', '科技', '买单', '产品', '经典', '群体', '粉丝']"
15188,1,"['环境', '网络', '粉丝', '合情合理', '情感', '有权', '国计民生', '条件', '流量', '态度', '形象', '工作室', '商业机构', '权利', '职粉', '群体']"
15215,1,"['地道', '家乡', '花钱', '粉丝', '当红', '流量', '农村', '农产品']"
15229,1,"['人生', '文艺', '粉丝', '癌症', '人能', '高度', '消费主义', '文化', '评价', '知识分子', '怪圈', '内涵', '价值观', '读书', '意义', '举例', '例子']"
15249,0,"['粉丝', '公益', '芥菜', '临泉', '项目组', '偶像']"
15276,0,"['粉丝', '正确引导', '阵子', '作品', '艺人', '产品', '思想', '关系', '偶像', '观念', '优质']"
15284,1,"['芥菜', '普及', '粉丝', '临泉', '公益', '感觉', '任务']"
15333,2,"['脑子里', '工程', '销量', '规矩', '工作人员', '消品', '农副产品', '子女', '面子', '粉丝', '群体']"
15368,0,"['回形针', '热带雨林', '巴西', '食盐', '粉丝', '节目', '彩票', '肉蛋']"
15416,2,"['金主', '粉丝', '饭圈', '缺俩', '帽子', '扑克牌', '人扣', '产品']"
15446,0,"['供应链', '世界', '指名道姓', '专门', '肺炎', '质量', '选林', '比例', '名义', '双标', '粉丝', '欧美', '公益', '巴西', '植被']"
15509,0,"['福利', '电动', '手动', '平论', '下单', '店里', '羽款', '优惠卷', '冲牙器', '专属', '权益保护法', '关系', '商品', '同学', '粉丝', '星辰', '省事']"
15567,0,"['八卦', '伟哥', '数据', '所有人', '粉丝', '老五', '五哥', '电商']"
15572,0,"['礼物', '粉丝', '流量', '涨粉', '末尾', '总结', '八卦', '保哥', '我会', '销售额']"
15577,1,"['粉丝', '房间', '受害者', '网暴']"
15603,0,"['数据', '辛巴浩南', '方丈', '二嫂', '天津', '小妹', '粉丝', '所有人']"
15621,1,"['房间', '网暴', '女性', '粉丝', '受害者']"
15643,0,"['晚安', '买单', '骗局', '外表', '高价', '礼物', '迷雾', '层层', '剪辑', '偶像', '粉丝', '时分', '涂鸦', '商业']"
15691,2,"['数据', '误导', '粉丝', '音乐', '规则', '网易', '错误', '声明', '车轱辘', '后台', '利益']"
15867,0,"['九州', '华裳', '霹雳', '事件', '同袍', '员工', '原则', '网络平台', '名誉', '节目', '官方', '底线', '事情', '组委会', '致力于', '合理合法', '粉丝']"
15986,0,"['粉丝', '链接', '牛人', '傻子', '流弊']"
15992,0,"['粉丝', '词条', '方嘛', '艺人', '证据', '态度', '声誉', '蝗虫']"
15994,0,"['互联网', '粉丝', '资本', '专辑', '无情', '现金流', '借贷']"
16033,2,"['招商', '粉丝', '账号', '观众', '看点', '综艺', '带动力', '戏份', '内容', '号召力', '卖剧', '贡献', '消费力']"
16266,2,"['下馆子', '堂食', '视线', '粉丝', '商务厅', '厅长', '党政领导', '南京', '重庆市', '景区', '形势', '官员', '小吃店', '江西省', '餐饮行业', '干部带头', '市委书记']"
16326,2,"['公益', '心理', '粉丝', '战战', '粉圈', '文化', '大众', '指教', '数据', '官媒', '外人', '目的', '精力', '形象']"
16851,0,"['电子', '股票', '芯片', '粉丝', '风险']"
